time_per_page,scroll_speed,number_of_re_reads,backtracking_count,quiz_hesitation_time,quiz_attempts,quiz_accuracy,session_duration,cognitive_load
122.1,211.2,3,1,16.7,1,69.2,417,MEDIUM
72.7,357.5,1,0,7,1,83.2,396,LOW
299.4,95.6,3,4,54.3,2,48.2,1620,HIGH
181.5,87.8,5,2,41.3,2,11.9,915,HIGH
42.7,327.7,0,0,6.1,1,99.5,358,LOW
96.5,410.5,0,1,11.9,1,97.1,100,LOW
171.5,313.1,3,3,14.9,2,78.1,778,MEDIUM
80.5,341.2,0,0,4.9,1,90.9,239,LOW
84.4,530.6,1,0,7.3,1,100,516,LOW
92.8,549.5,1,0,7.1,1,100,532,LOW
82.7,395.6,1,0,2.8,1,87.7,382,LOW
55.8,474.7,0,0,4.9,1,100,553,LOW
158.1,171.4,2,2,16.5,1,80.8,527,MEDIUM
291.8,61.1,5,3,40.3,3,49.8,1657,HIGH
288.6,50.5,5,4,41.7,4,53.5,986,HIGH
46.7,461.4,2,0,1.5,1,79.6,327,LOW
169,205.3,2,1,20.1,2,83.3,250,MEDIUM
178.3,228.5,2,1,22.8,1,78.3,811,MEDIUM
138.7,216.3,3,1,20.5,3,74.5,1026,MEDIUM
91.7,456.9,2,0,7.1,1,96.7,289,LOW
31,349.1,0,0,5,1,90.4,528,LOW
53.7,478.8,1,1,5.4,1,89.1,318,LOW
57.2,360,0,0,10.6,1,86.6,571,LOW
63.5,379.8,1,0,3.7,1,98.3,536,LOW
155.1,78.8,4,4,29.6,3,38.5,1119,HIGH
105,388.7,0,0,8.4,1,95.8,654,LOW
207.8,46.5,6,4,41.4,2,17.8,1219,HIGH
126.4,260.2,1,2,16.4,1,71.1,1007,MEDIUM
135.9,216.6,2,1,15.5,1,54.4,773,MEDIUM
105.5,238.3,1,2,24.9,1,64.6,791,MEDIUM
76.3,529.3,0,1,11.7,1,98.6,353,LOW
209.3,90.6,6,3,23.1,2,50.2,1322,HIGH
333.1,68.1,3,4,41.9,4,39.8,797,HIGH
370.7,103.4,3,2,59.4,2,40.4,1280,HIGH
147.2,99.2,3,7,45.3,4,32.9,1248,HIGH
251.3,116.7,5,8,41.7,2,40.7,1426,HIGH
271.1,99.8,9,4,30.1,4,68,622,HIGH
206.4,128.1,4,4,51,3,51,1418,HIGH
51.9,370,1,1,5.9,1,89.6,353,LOW
277.9,63.5,5,3,47.4,2,38.8,1370,HIGH
302.5,85.6,6,3,26.9,2,32.3,1690,HIGH
314.5,113.5,3,5,53.6,4,28.9,833,HIGH
69.6,388.4,0,2,5.2,1,91,293,LOW
162.8,154.2,2,2,25.7,2,74.6,705,MEDIUM
192.8,75.2,5,3,47.9,2,20.1,1716,HIGH
52.5,281.8,0,1,2.6,1,90.1,648,LOW
303.8,87.8,5,2,39.4,4,43,1703,HIGH
42.2,443.3,2,0,10.9,1,85.3,225,LOW
278.2,107.9,5,4,58.3,2,45.5,1348,HIGH
143.3,308.7,4,0,7,1,72,495,MEDIUM
60.7,447,0,1,10.1,1,96.8,276,LOW
20,472.6,0,0,6.2,1,83.9,576,LOW
270.1,101.1,7,4,47.7,4,47,1335,HIGH
68.3,336.4,0,0,5,1,94.4,545,LOW
186.5,235.4,1,1,27.8,2,68.7,890,MEDIUM
125.6,238,4,4,26,2,51.3,766,MEDIUM
114.1,232.6,1,1,14.8,1,80.1,587,MEDIUM
205,82.9,3,2,49.4,3,43,688,HIGH
416.4,72.3,7,2,27.7,4,68,1319,HIGH
47.7,385,2,0,6,1,89.4,228,LOW
193.1,203.7,1,3,24.9,2,72,1016,MEDIUM
66.1,318.6,0,0,6,1,85.9,347,LOW
30.2,348.1,2,1,10.6,1,90.6,100,LOW
38.8,400.6,0,0,10,1,91.9,451,LOW
160.7,231.6,2,0,18.3,1,52.9,915,MEDIUM
227,83.8,3,5,23.4,2,56.5,1199,HIGH
58.3,409.9,1,1,3.7,1,84.9,284,LOW
153.2,231.3,1,0,10.2,1,74.3,788,MEDIUM
51.2,313.6,1,0,7.7,1,90.5,238,LOW
47,358.8,1,1,6.7,1,81.3,249,LOW
57.6,342.6,2,0,7.3,1,86.2,473,LOW
122.3,220,2,1,29.1,2,67.2,1094,MEDIUM
162.4,204.2,2,2,7,2,76.6,983,MEDIUM
103.8,237.4,3,2,20.9,1,63.2,1262,MEDIUM
283.3,97.1,5,2,27.4,2,42.4,1059,HIGH
201.4,76.7,9,7,26.4,4,34.5,1285,HIGH
262.5,133.8,7,4,50.5,4,61.8,1448,HIGH
51.3,394.2,0,0,2,1,88,268,LOW
210.4,270.6,1,1,20.4,1,67.8,794,MEDIUM
100.1,504.1,0,0,5.7,1,100,461,LOW
351.1,133.2,4,2,59.7,2,16.8,1039,HIGH
268.8,104.3,6,4,36.6,4,32.1,1051,HIGH
35,452,0,0,8.2,1,100,287,LOW
125.1,208.3,1,1,16.4,1,89.4,273,MEDIUM
74.1,409.1,2,0,6.1,1,81.9,272,LOW
59.4,372.6,0,0,9.8,1,97.7,456,LOW
62.4,364.8,1,0,11.1,1,99.5,229,LOW
192,207.1,1,0,20.9,2,71.5,1370,MEDIUM
33.3,441.6,2,0,4.7,1,95.2,705,LOW
230.2,130.5,4,3,39.3,5,52.8,1892,HIGH
46.3,502.2,0,0,2.6,1,99,443,LOW
104,337.3,0,0,5.5,1,94.6,385,LOW
63.2,465,2,1,4.4,1,100,327,LOW
178.3,262.2,1,1,22.7,1,86.5,510,MEDIUM
76.8,322.8,1,0,6.9,1,94.9,308,LOW
285.8,80.7,3,5,28.9,2,21,1236,HIGH
28.7,326,0,0,8.5,1,93.1,251,LOW
58.5,412.6,1,0,9.7,1,87.7,483,LOW
133.2,204.4,2,1,17.2,1,83.2,653,MEDIUM
74.5,314.2,0,0,12.7,1,77.5,642,LOW
73.3,293.3,1,0,2.5,1,97.2,311,LOW
144.5,166.7,2,0,10.7,1,77.4,645,MEDIUM
130.6,260.7,4,3,10.3,2,84.9,920,MEDIUM
105.7,272.9,2,2,23.9,2,64.9,761,MEDIUM
167.1,124.9,2,2,14.7,2,64.9,859,MEDIUM
166.2,289,2,2,10.3,3,57.5,820,MEDIUM
97.1,206.5,3,0,15.6,2,64.8,574,MEDIUM
169.3,228.9,1,2,23.9,2,90,653,MEDIUM
61.6,326.2,0,1,8,1,81.2,150,LOW
105,222.3,2,2,13.1,2,65.3,829,MEDIUM
37.1,278.2,0,0,5.5,1,92.3,544,LOW
245.7,111.8,3,2,41,3,41.1,1072,HIGH
63.6,465.4,0,0,9.7,1,92.8,257,LOW
101.5,449.2,0,0,13,1,85.2,164,LOW
234.9,125.5,3,2,55.1,4,27.4,1254,HIGH
313.7,74.4,7,6,29.1,4,41.4,711,HIGH
22.9,341,1,0,5.9,1,100,471,LOW
211.3,62,5,3,26,2,21.6,1238,HIGH
365,136.1,5,2,57.2,3,36.4,710,HIGH
167.8,307.8,4,2,13.4,2,57,403,MEDIUM
261.7,115.4,6,4,44.6,3,31.5,1193,HIGH
286.8,101.6,9,2,38,3,58.1,735,HIGH
52.2,384.8,0,0,5,1,89.2,318,LOW
131.4,179.7,2,3,17,2,61.4,807,MEDIUM
126.5,276.8,3,1,24,1,54.2,639,MEDIUM
85,372.1,0,0,6.8,1,96.4,294,LOW
259.2,82.1,3,2,38.6,3,18.8,1296,HIGH
74.1,298.1,0,0,7.4,1,90.5,427,LOW
286.1,70.4,3,5,43.4,2,43.5,1483,HIGH
24.2,252.3,0,0,4.6,1,97.4,505,LOW
57,374.3,2,0,11.7,1,98.8,459,LOW
234.4,152.8,3,2,52.1,3,50.4,1771,HIGH
289.7,105,4,4,27.7,3,53.5,1102,HIGH
265.4,68.2,3,3,40.1,3,22.6,680,HIGH
234.7,83,4,7,18,2,40.9,878,HIGH
148.4,162.7,3,1,10.4,1,71.4,689,MEDIUM
146.5,185.4,3,2,23.1,1,78.5,844,MEDIUM
104,270,2,0,7.2,1,90,614,MEDIUM
225.3,42.1,6,5,32.3,3,26.5,876,HIGH
129.5,185.2,3,0,25.3,2,79.9,867,MEDIUM
93.7,322.2,0,0,6.9,1,87.1,422,LOW
41.6,368,0,0,11.5,1,84.6,459,LOW
50.3,273,0,0,1.5,1,93.5,549,LOW
40,382.4,0,0,5.8,1,82.6,338,LOW
80.4,393.2,1,0,7,1,90.9,232,LOW
149.2,213.7,2,1,14.3,3,73.9,788,MEDIUM
50,349.6,0,1,4.6,1,93.8,327,LOW
67.7,275.2,0,0,7,1,98.6,390,LOW
327.8,65.8,9,4,18.9,2,55.3,807,MEDIUM
52.8,411.4,1,0,3.3,1,85.5,310,LOW
66.6,299.7,1,0,8.4,1,81.1,649,LOW
322.5,101,4,3,44.5,3,40.5,1765,HIGH
252.3,126.1,9,2,28.5,2,42.5,1607,HIGH
76.3,372.8,0,0,6.6,1,90.6,431,LOW
105.6,200.3,1,1,22,2,66.9,684,MEDIUM
152.8,228.5,2,2,9.2,1,76.7,815,MEDIUM
95.9,241.4,0,0,8.8,1,84.3,353,LOW
199.4,164.5,5,3,45.5,2,48.9,1238,MEDIUM
88.6,427.7,2,0,11.2,1,80.9,748,LOW
243.8,84,5,3,37.9,2,59.1,917,HIGH
231.7,117.8,3,3,24.5,2,85.5,466,MEDIUM
229.8,107,4,4,23.4,2,37,1186,HIGH
100.3,241.2,2,1,35,1,71.1,782,MEDIUM
52.5,415.4,0,0,4.8,1,87.7,415,LOW
111.7,228.5,3,1,22.4,2,61.6,784,MEDIUM
232.6,86.5,6,3,39.6,3,49.8,1047,HIGH
284.9,130.8,3,3,27.4,2,34.3,555,MEDIUM
94.1,116.9,3,1,18,2,68.9,687,MEDIUM
144.9,286.2,2,1,29.8,1,63.5,681,MEDIUM
368.2,141.1,6,4,34.2,2,43.2,1739,HIGH
133.1,169.2,3,2,19.8,1,79.8,805,HIGH
320.3,95.3,3,4,31.3,2,36.9,1396,HIGH
107.5,248.8,2,2,16.5,3,72.6,433,MEDIUM
218.5,83.6,4,2,30.1,3,38.9,1456,HIGH
73.2,334.5,0,1,9.4,1,94.7,679,LOW
301.5,112.4,3,4,41.1,3,19.1,1817,HIGH
52.5,343.4,0,0,3.5,1,100,751,LOW
136.8,231.6,3,1,27.3,1,90,756,MEDIUM
163.6,272.8,1,3,18.7,2,69.3,884,HIGH
216.4,136.6,3,4,45.1,2,68,1130,HIGH
325.3,114.7,5,4,29.4,5,34.6,1863,HIGH
103.4,145.5,3,1,18,1,57.8,581,MEDIUM
251.2,136.1,4,3,35.5,2,26.9,1401,HIGH
141.6,214.9,2,2,18.3,1,66.9,457,MEDIUM
76.5,359.5,0,0,10.9,1,91.3,222,LOW
205,147.3,4,3,47.4,4,48.5,1101,HIGH
72.8,473.4,0,0,7.1,1,88.3,474,LOW
204.5,60.2,3,2,30.9,3,10,1456,HIGH
101.5,161.2,3,1,34.4,1,69.8,1218,MEDIUM
161.5,82,4,5,20.3,2,50.1,806,HIGH
158.7,245.3,4,1,17.4,1,61.6,726,MEDIUM
106,304.1,2,0,7.9,1,100,131,LOW
67.5,477.7,2,0,6,1,100,277,LOW
179.8,192.1,3,1,23.4,3,72,795,MEDIUM
132.3,147.5,2,2,13.3,2,55.2,496,MEDIUM
59,541.5,0,0,6.3,1,84,121,LOW
78.3,455.8,1,1,5,1,97.8,399,LOW
295.5,93.8,5,2,33.2,2,24.1,1417,HIGH
73.4,365.6,1,0,6.5,1,95.8,515,LOW
123.1,276.7,3,2,27.4,1,75.9,910,MEDIUM
164.8,269.9,1,2,32.9,2,62.7,610,MEDIUM
256.2,48.3,8,6,46,3,43.1,1087,HIGH
335.8,78.5,5,3,33.5,2,61,1266,HIGH
309.2,84.9,7,6,45.3,2,56.4,1781,HIGH
90.5,363.5,1,1,4.5,1,86.4,406,LOW
50.7,306.4,0,0,5.7,1,100,545,LOW
273.2,65.8,4,2,49.7,2,49.8,1446,HIGH
140,56.5,6,5,39.3,2,39.8,1556,HIGH
50.1,369.4,2,0,8.9,1,98.8,323,LOW
150.6,138.6,3,1,14.7,1,71,751,MEDIUM
43.4,326.5,2,1,10.1,1,100,467,LOW
89.7,155.1,2,1,24.8,1,61,830,MEDIUM
73.8,337.1,0,0,2.1,1,89.2,428,LOW
177.3,82.9,3,2,56.7,3,40.1,1066,HIGH
271.2,149,5,3,41.5,2,35.2,1365,HIGH
143.2,250.8,1,0,29.2,2,72.8,665,MEDIUM
95.6,149.9,1,1,16.3,1,72.6,683,MEDIUM
310.7,120.2,3,5,21.7,2,10,1284,HIGH
43.5,287.1,0,1,11.4,1,95.4,542,LOW
45.1,452,1,0,8,1,97.4,356,LOW
132,241.5,2,0,19.7,1,63.6,642,HIGH
200.8,202.3,1,1,28,1,65.7,859,MEDIUM
172.7,347.3,1,2,28.7,1,60.2,816,MEDIUM
209.8,205.1,4,3,7,2,66.7,797,MEDIUM
107.1,163.1,2,1,22.6,1,71.4,769,MEDIUM
120.6,395.3,0,1,2.8,1,84.6,322,LOW
331.7,128.1,4,2,28.2,4,48.2,1317,HIGH
295.6,129.3,7,4,42.1,3,47.1,1406,HIGH
268.2,142.7,3,3,50.7,2,33.1,1246,HIGH
191,106.5,8,3,34.5,2,38.8,1078,HIGH
190.1,212.9,2,0,14,1,72.7,662,MEDIUM
38,300.6,0,0,13.1,1,87.7,100,MEDIUM
75.5,395.4,0,0,7.6,1,96.3,256,LOW
85.9,351.7,0,0,11.7,1,100,439,LOW
106.9,206.6,1,0,24.2,2,68,404,MEDIUM
108.9,263.2,3,2,9.6,1,72.7,618,MEDIUM
215,81,9,4,62.4,4,41,668,HIGH
244.7,92.1,7,4,58.8,3,45.6,1491,HIGH
112.8,190.2,4,1,23.1,1,58.1,716,MEDIUM
73.3,562.1,1,1,10.8,1,76.6,274,LOW
52.2,484.8,1,0,9.6,1,100,383,LOW
58,332.7,0,0,1.5,1,91.8,289,LOW
184.2,252.2,1,3,24.4,1,65.1,561,MEDIUM
207.3,73.1,5,6,26.7,3,51.2,1413,HIGH
86.5,477.3,0,0,3.3,1,99.8,575,LOW
61.9,375.8,0,0,9.6,1,93.6,227,LOW
221.5,178.5,4,1,27.1,1,87.6,574,MEDIUM
49.9,415,1,0,8,1,92.8,270,LOW
168.8,159.1,4,2,11.2,1,70.6,700,MEDIUM
156.1,277.6,3,3,12.1,1,71.3,296,MEDIUM
196,194.4,3,2,20.9,1,71.3,547,MEDIUM
190.6,329.1,2,1,12.8,3,78.3,917,MEDIUM
145.4,165.3,2,2,15.8,1,45,566,MEDIUM
76.9,401.4,0,1,7,1,85.2,369,LOW
128.8,199.4,2,1,15.8,1,90,557,MEDIUM
140,81.2,4,6,49.2,3,19.3,1063,HIGH
68.3,273.4,1,1,4.8,1,84.6,710,LOW
30.3,396.2,1,0,11.4,1,98.1,292,LOW
51.3,399.7,1,0,11.5,1,87.2,235,LOW
97.1,252.3,3,1,21.8,2,88.3,780,MEDIUM
111.8,238,1,1,21,1,50.2,617,MEDIUM
72.5,294.1,2,0,3.4,1,95.7,526,LOW
179.4,308.4,4,2,16.7,1,79.6,583,MEDIUM
313.3,83.1,7,4,49.5,3,45.6,1096,HIGH
233.2,143.2,5,4,50.8,4,51.2,662,HIGH
136.7,251.1,2,3,31.9,1,71.7,397,MEDIUM
52.8,491.4,0,1,4.2,1,85.7,390,LOW
164.9,306.2,2,1,16.8,1,61.8,774,MEDIUM
159.3,257.9,5,3,10.7,1,77.9,517,MEDIUM
48.8,273.5,1,0,2.1,1,100,337,LOW
222.7,81.3,3,3,38.6,2,34.8,1580,HIGH
65.5,378.5,0,0,3.2,1,100,337,LOW
211.2,123.2,7,5,44.6,4,37.7,550,HIGH
152.2,100,2,1,16.1,1,60,452,MEDIUM
280.4,77.7,5,2,36.9,3,14.5,1283,HIGH
131.2,245.7,2,0,22.3,1,90,887,MEDIUM
318.4,109.6,3,4,48.9,2,45.7,1543,HIGH
415.2,101.8,5,4,55.8,3,65.4,831,HIGH
97.1,464.9,2,0,8.3,1,92.7,358,LOW
151.4,167.2,2,0,28,1,47.8,805,MEDIUM
63.8,425.6,0,0,6.6,1,94.7,475,LOW
135.2,197.2,2,2,22.7,1,68.9,831,MEDIUM
36.2,452.8,1,0,6.7,1,98.7,396,LOW
167.9,295.2,3,0,18.7,2,66.6,1127,MEDIUM
34.4,418,1,1,8.1,1,100,373,LOW
124.1,223.3,3,3,9.5,2,45,889,MEDIUM
168.5,213.1,1,1,13.1,2,90,368,MEDIUM
75.8,330.3,0,0,5.8,1,100,386,LOW
182.1,100.8,4,6,42.9,2,55.2,1339,HIGH
283.7,68.3,6,7,46.2,3,42.1,566,HIGH
160.2,245.8,3,2,19,2,62.1,569,MEDIUM
163.8,90.2,5,6,38,4,47.2,1034,HIGH
103.1,197.9,4,2,14.3,1,75.7,922,MEDIUM
67.1,477.2,1,0,3.9,1,93.8,196,LOW
265.6,119.3,7,2,33.5,2,28.1,1281,HIGH
44.8,349.3,0,1,3.9,1,83.1,499,LOW
133,191.4,2,1,20.3,2,80,680,MEDIUM
199.6,98.3,6,4,44.3,3,42,1243,HIGH
128,326,2,2,12.3,2,50.8,666,MEDIUM
293.6,88.3,3,3,43.7,3,41.4,1236,HIGH
132,188.9,4,0,10.1,1,70.2,627,MEDIUM
176.6,71.8,5,2,23,2,46.3,1687,HIGH
51.8,463.6,0,0,6.4,1,97.5,417,LOW
124.4,181.9,4,1,15.2,2,82.9,887,MEDIUM
80.4,387.3,0,0,6.9,1,96.4,143,LOW
154.5,170.4,1,3,15.9,1,84,1347,MEDIUM
59.8,387.9,0,0,5.7,1,90.6,477,LOW
103.6,328.9,0,0,10.6,1,99.5,486,LOW
63.4,302.4,2,0,1.5,1,92.1,217,LOW
263.8,94.1,7,2,44.6,2,50.4,1500,HIGH
171.3,91.6,3,5,33,4,42.5,2467,HIGH
45.6,309.8,1,0,3,1,89.8,683,LOW
62.3,291.8,0,1,1.5,1,98.3,473,LOW
163.9,306.7,1,2,12.4,1,81.9,993,MEDIUM
98.4,215.6,2,2,21.1,2,58.1,711,MEDIUM
48.9,503.7,0,0,13,1,100,114,LOW
212.4,38.8,3,2,46.9,3,49.8,887,MEDIUM
58.2,271.6,0,0,14.3,1,90.3,340,LOW
166.9,162.4,2,1,18,2,85.2,705,MEDIUM
84.3,487.3,0,0,2.2,1,100,271,LOW
156.6,111.4,7,3,40.6,4,48.2,1733,HIGH
146.8,59.3,7,5,38.2,2,10,1611,HIGH
84.9,364.4,0,0,7.5,1,93.8,542,LOW
98.7,107.1,2,2,21.3,1,45,444,MEDIUM
132.8,245.4,4,1,19.3,1,63.3,970,MEDIUM
132.3,237.3,4,1,7,1,76.9,250,HIGH
307,113.4,5,3,63.3,4,26,500,HIGH
325.9,82.1,7,5,20.4,2,59.6,1647,HIGH
20,378,0,0,13.7,1,92.1,416,LOW
71.5,318.9,0,0,6.6,1,92.6,251,LOW
170.8,92.4,3,4,32.3,2,30.7,1729,HIGH
70,256.9,2,1,17.8,1,66.9,665,MEDIUM
224.3,174.3,6,3,18.5,2,47.8,1006,HIGH
332.8,86.9,5,6,18.2,4,35.5,1539,HIGH
318.2,100.9,5,3,31.3,3,15.7,500,HIGH
214.8,65.1,4,2,56.1,3,31.5,1702,HIGH
34.2,363.1,3,0,8.4,1,86.8,475,LOW
84.2,394.2,0,0,5.7,1,96.2,337,LOW
301.8,142.1,6,4,20.1,2,45.9,782,HIGH
53.2,444.6,0,0,3.3,1,76.2,538,LOW
130.5,244.2,1,1,17.4,2,84.1,678,MEDIUM
154.2,157.7,1,1,18.2,1,77.8,636,MEDIUM
285.9,60.1,6,4,27.6,2,46.6,1016,HIGH
328.2,143.8,3,4,33.4,2,30.7,1355,HIGH
70,201.1,3,1,22,1,83,1034,MEDIUM
102,194.6,2,0,10.4,3,65.7,601,MEDIUM
128.3,202.2,1,2,17.3,3,69.9,872,MEDIUM
274,91.3,3,3,32.1,3,68,798,HIGH
240.7,115.8,3,6,59.1,3,46.3,1498,HIGH
23.8,415.9,0,0,6.9,1,92.8,438,LOW
45.3,432.2,0,0,4.6,1,91.5,430,LOW
137.7,165.8,2,1,23.8,2,66.7,930,MEDIUM
50.2,351.2,0,1,9.3,1,100,446,LOW
244.3,72.5,4,5,24.4,3,45.3,984,HIGH
74.1,447.6,1,0,9.7,1,100,616,LOW
174.3,212.3,1,2,13.8,1,81.2,738,MEDIUM
